Student_ID,Age,Gender,Academic_Level,Country,Avg_Daily_Usage_Hours,Most_Used_Platform,Affects_Academic_Performance,Sleep_Hours_Per_Night,Mental_Health_Score,Relationship_Status,Conflicts_Over_Social_Media,Addicted_Score
31,20,Female,Undergraduate,Philippines,4.8,Snapchat,Yes,5.7,6,In Relationship,3,7
32,18,Male,High School,Indonesia,5.4,TikTok,Yes,5.4,5,Complicated,4,8
33,23,Female,Graduate,Taiwan,2.6,LinkedIn,No,7.2,8,Single,1,4
34,19,Male,Undergraduate,Hong Kong,4.7,Instagram,Yes,5.8,6,In Relationship,3,7
35,20,Female,Undergraduate,Turkey,5.6,TikTok,Yes,5.5,5,Complicated,4,8
36,22,Male,Graduate,Israel,3.1,Facebook,No,6.8,7,Single,1,5
Student_ID,19,Female,High School,UAE,6.2,Instagram,Yes,5.1,5,In Relationship,4,9
37,21,Male,Undergraduate,Egypt,3.9,YouTube,No,6.5,7,Complicated,2,6
38,20,Female,Undergraduate,Morocco,4.5,TikTok,Yes,5.8,6,Single,3,7
39,24,Male,Graduate,South Africa,2.3,LinkedIn,No,7.3,8,In Relationship,1,4
40,19,Female,High School,Nigeria,5.8,Instagram,Yes,5.4,5,Complicated,4,8
41,21,Male,Undergraduate,Kenya,3.7,Facebook,No,6.6,7,Single,2,5
42,20,Female,Undergraduate,Ghana,4.6,Snapchat,Yes,5.7,6,In Relationship,3,7
43,18,Male,High School,Argentina,5.5,TikTok,Yes,5.3,5,Single,4,8
44,23,Female,Graduate,Chile,2.7,LinkedIn,No,7.1,8,Complicated,1,4
45,19,Male,Undergraduate,Colombia,4.8,Instagram,Yes,5.9,6,In Relationship,3,7
46,20,Female,Undergraduate,Peru,5.5,TikTok,Yes,5.6,5,Single,4,8
47,22,Male,Graduate,Venezuela,3.3,Facebook,No,6.7,7,In Relationship,2,5
48,19,Female,High School,Ecuador,6.3,Instagram,Yes,5.2,5,Complicated,4,9
49,21,Male,Undergraduate,Uruguay,3.8,YouTube,No,6.4,7,Single,2,6
50,20,Female,Undergraduate,Paraguay,4.7,TikTok,Yes,5.8,6,In Relationship,3,7
51,24,Male,Graduate,Bolivia,2.4,LinkedIn,No,7.2,8,Complicated,1,4
52,19,Female,High School,Costa Rica,5.7,Instagram,Yes,5.5,5,Single,4,8
53,21,Male,Undergraduate,Panama,3.6,Facebook,No,6.5,7,In Relationship,2,5
54,20,Female,Undergraduate,Jamaica,4.9,Snapchat,Yes,5.6,6,Complicated,3,7
Student_ID,18,Male,High School,Trinidad,5.6,TikTok,Yes,5.2,5,Single,4,8
55,23,Female,Graduate,Bahamas,2.8,LinkedIn,No,7,8,In Relationship,1,4
56,19,Male,Undergraduate,Iceland,4.6,Instagram,Yes,5.9,6,Complicated,3,7
57,20,Female,Undergraduate,Finland,5.4,TikTok,Yes,5.7,5,Single,4,8
58,22,Male,Graduate,Poland,3.1,Facebook,No,7.1,7,Single,1,5
59,19,Female,Undergraduate,Romania,5.6,Instagram,Yes,5.6,5,In Relationship,3,8
60,20,Male,Undergraduate,Hungary,4.2,TikTok,Yes,6,6,Complicated,3,7
61,18,Female,High School,Czech Republic,6.1,Snapchat,Yes,5.2,4,Single,4,9
62,23,Male,Graduate,Slovakia,2.3,LinkedIn,No,7.4,8,In Relationship,1,3
63,21,Female,Undergraduate,Croatia,4.8,Instagram,Yes,5.8,6,Single,3,7
64,20,Male,Undergraduate,Serbia,3.9,YouTube,No,6.5,7,Complicated,2,6
65,19,Female,High School,Slovenia,5.7,TikTok,Yes,5.4,5,In Relationship,4,8
66,22,Male,Graduate,Bulgaria,2.8,LinkedIn,No,7.2,8,Single,1,4
67,20,Female,Undergraduate,Estonia,4.5,Instagram,Yes,5.9,6,Complicated,3,7
68,18,Male,High School,Latvia,5.4,Snapchat,Yes,5.5,5,Single,4,8
69,21,Female,Graduate,Lithuania,3.2,Facebook,No,6.8,7,In Relationship,2,5
70,19,Male,Undergraduate,Ukraine,4.9,TikTok,Yes,5.7,6,Complicated,3,7
71,20,Female,Undergraduate,Moldova,5.8,Instagram,Yes,5.3,5,Single,4,8
72,23,Male,Graduate,Belarus,2.5,LinkedIn,No,7.3,8,In Relationship,1,4
Student_ID,21,Female,Undergraduate,Kazakhstan,4.6,Snapchat,Yes,5.8,6,Single,3,7
73,19,Male,High School,Uzbekistan,5.5,TikTok,Yes,5.4,5,Complicated,4,8
74,22,Female,Graduate,Kyrgyzstan,2.9,Facebook,No,7,7,In Relationship,2,5
75,20,Male,Undergraduate,Tajikistan,4.7,YouTube,Yes,5.9,6,Single,3,7
76,18,Female,High School,Armenia,5.9,Instagram,Yes,5.2,5,Complicated,4,9
77,21,Male,Graduate,Georgia,3,LinkedIn,No,7.1,8,In Relationship,1,4
78,19,Female,Undergraduate,Azerbaijan,4.8,TikTok,Yes,5.7,6,Single,3,7
79,20,Male,Undergraduate,Cyprus,3.8,Facebook,No,6.6,7,Complicated,2,6
80,22,Female,Graduate,Malta,2.7,LinkedIn,No,7.2,8,In Relationship,1,4
81,18,Male,High School,Luxembourg,5.6,Snapchat,Yes,5.3,5,Single,4,8
82,21,Female,Undergraduate,Monaco,4.5,Instagram,Yes,5.8,6,Complicated,3,7
83,19,Male,High School,Andorra,5.3,TikTok,Yes,5.5,5,In Relationship,4,8
84,23,Female,Graduate,San Marino,2.6,LinkedIn,No,7.3,8,Single,1,4
85,20,Male,Undergraduate,Vatican City,4.4,YouTube,Yes,6,6,Complicated,3,7
86,18,Female,High School,Liechtenstein,5.8,Instagram,Yes,5.2,5,Single,4,9
87,22,Male,Graduate,Montenegro,2.9,Facebook,No,7,7,In Relationship,2,5
88,19,Female,Undergraduate,Albania,4.7,TikTok,Yes,5.8,6,Complicated,3,7
89,21,Male,Undergraduate,North Macedonia,3.7,Snapchat,No,6.5,7,Single,2,6
90,20,Female,High School,Kosovo,5.5,Instagram,Yes,5.4,5,In Relationship,4,8
Student_ID,23,Male,Graduate,Bosnia,2.4,LinkedIn,No,7.4,8,Complicated,1,4
91,19,Female,Undergraduate,Qatar,4.9,TikTok,Yes,5.7,6,Single,3,7
92,18,Male,High School,Kuwait,5.7,Snapchat,Yes,5.3,5,In Relationship,4,8
93,22,Female,Graduate,Bahrain,2.8,LinkedIn,No,7.1,8,Complicated,1,4
94,20,Male,Undergraduate,Oman,4.6,Instagram,Yes,5.9,6,Single,3,7
95,21,Female,Undergraduate,Jordan,5.4,TikTok,Yes,5.5,5,In Relationship,4,8
96,19,Male,High School,Lebanon,5.8,YouTube,Yes,5.2,5,Complicated,4,9
97,23,Female,Graduate,Iraq,2.5,LinkedIn,No,7.3,8,Single,1,4
98,20,Male,Undergraduate,Yemen,4.7,Facebook,Yes,5.8,6,In Relationship,3,7
99,18,Female,High School,Syria,5.6,Instagram,Yes,5.4,5,Single,4,8
100,22,Male,Graduate,Afghanistan,2.9,LinkedIn,No,7,7,Complicated,2,5
101,19,Female,Undergraduate,Pakistan,4.8,TikTok,Yes,5.7,6,In Relationship,3,7
102,21,Male,Undergraduate,Nepal,3.8,YouTube,No,6.6,7,Single,2,6
103,20,Female,High School,Bhutan,5.5,Snapchat,Yes,5.5,5,Complicated,4,8
104,23,Male,Graduate,Sri Lanka,2.6,LinkedIn,No,7.2,8,In Relationship,1,4
105,19,Female,Undergraduate,Maldives,4.9,Instagram,Yes,5.8,6,Single,3,7
106,20,Male,Undergraduate,Bangladesh,6.1,Instagram,Yes,6.2,5,Single,4,8
107,21,Female,Undergraduate,India,5.8,TikTok,Yes,5.9,6,In Relationship,3,7
108,19,Male,Undergraduate,Nepal,4.9,Facebook,No,7.1,7,Single,2,5
Student_ID,22,Female,Graduate,Pakistan,5.5,Instagram,Yes,6,5,Single,4,8
109,20,Male,Undergraduate,Sri Lanka,5.2,TikTok,Yes,6.3,6,In Relationship,3,7
110,19,Female,Undergraduate,Maldives,4.8,Instagram,No,7.2,8,Single,2,5
111,21,Male,Graduate,Bangladesh,6,Facebook,Yes,5.8,5,In Relationship,4,8
112,20,Female,Undergraduate,India,5.7,Instagram,Yes,6.1,6,Single,3,7
113,22,Male,Graduate,Nepal,4.7,TikTok,No,7.3,7,Single,2,5
114,19,Female,Undergraduate,Pakistan,5.4,Instagram,Yes,6.2,5,In Relationship,4,8
115,20,Male,Undergraduate,Sri Lanka,5.9,Facebook,Yes,5.9,6,Single,3,7
116,21,Female,Graduate,Maldives,4.6,Instagram,No,7.4,8,In Relationship,2,5
117,19,Male,Undergraduate,Bangladesh,5.3,TikTok,Yes,6.3,5,Single,4,8
118,22,Female,Graduate,India,5.8,Instagram,Yes,5.8,6,In Relationship,3,7
119,20,Male,Undergraduate,Nepal,4.5,Facebook,No,7.5,7,Single,2,5
120,21,Female,Graduate,Pakistan,5.2,Instagram,Yes,6.4,5,In Relationship,4,8
121,19,Male,Undergraduate,Sri Lanka,5.7,TikTok,Yes,5.7,6,Single,3,7
122,20,Female,Undergraduate,Maldives,4.4,Instagram,No,7.6,8,In Relationship,2,5
123,22,Male,Graduate,Bangladesh,5.1,Facebook,Yes,6.5,5,Single,4,8
124,21,Female,Graduate,India,5.6,Instagram,Yes,5.6,6,In Relationship,3,7
125,19,Male,Undergraduate,Nepal,4.3,TikTok,No,7.7,7,Single,2,5
126,20,Female,Undergraduate,Pakistan,5,Instagram,Yes,6.6,5,In Relationship,4,8
Student_ID,22,Male,Graduate,Sri Lanka,5.5,Facebook,Yes,5.5,6,Single,3,7
127,21,Female,Graduate,Maldives,4.2,Instagram,No,7.8,8,In Relationship,2,5
128,19,Male,Undergraduate,Bangladesh,4.9,TikTok,Yes,6.7,5,Single,4,8
129,20,Female,Undergraduate,India,5.4,Instagram,Yes,5.4,6,In Relationship,3,7
130,22,Male,Graduate,Nepal,4.1,Facebook,No,7.9,7,Single,2,5
131,21,Female,Graduate,Pakistan,4.8,Instagram,Yes,6.8,5,In Relationship,4,8
132,19,Male,Undergraduate,Sri Lanka,5.3,TikTok,Yes,5.3,6,Single,3,7
133,20,Female,Undergraduate,Maldives,4,Instagram,No,8,8,In Relationship,2,5
134,22,Male,Graduate,Bangladesh,4.7,Facebook,Yes,6.9,5,Single,4,8
135,21,Female,Graduate,India,5.2,Instagram,Yes,5.2,6,In Relationship,3,7
136,19,Male,Undergraduate,Nepal,3.9,TikTok,No,8.1,7,Single,2,5
137,20,Female,Undergraduate,Pakistan,4.6,Instagram,Yes,7,5,In Relationship,4,8
138,22,Male,Graduate,Sri Lanka,5.1,Facebook,Yes,5.1,6,Single,3,7
139,21,Female,Graduate,Maldives,3.8,Instagram,No,8.2,8,In Relationship,2,5
140,19,Male,Undergraduate,Bangladesh,4.5,TikTok,Yes,7.1,5,Single,4,8
141,20,Female,Undergraduate,India,5,Instagram,Yes,5,6,In Relationship,3,7
142,22,Male,Graduate,Nepal,3.7,Facebook,No,8.3,7,Single,2,5
143,21,Female,Graduate,Pakistan,4.4,Instagram,Yes,7.2,5,In Relationship,4,8
144,19,Male,Undergraduate,Sri Lanka,4.9,TikTok,Yes,4.9,6,Single,3,7
Student_ID,20,Female,Undergraduate,Maldives,3.6,Instagram,No,8.4,8,In Relationship,2,5
145,22,Male,Graduate,Bangladesh,4.3,Facebook,Yes,7.3,5,Single,4,8
146,21,Female,Graduate,India,4.8,Instagram,Yes,4.8,6,In Relationship,3,7
147,19,Male,Undergraduate,Nepal,3.5,TikTok,No,8.5,7,Single,2,5
148,20,Female,Undergraduate,Pakistan,4.2,Instagram,Yes,7.4,5,In Relationship,4,8
149,22,Male,Graduate,Sri Lanka,4.7,Facebook,Yes,4.7,6,Single,3,7
150,21,Female,Graduate,Maldives,3.4,Instagram,No,8.6,8,In Relationship,2,5
151,19,Male,Undergraduate,Bangladesh,4.1,TikTok,Yes,7.5,5,Single,4,8
152,20,Female,Undergraduate,India,4.6,Instagram,Yes,4.6,6,In Relationship,3,7
153,19,Female,Undergraduate,Bangladesh,5.3,Instagram,Yes,6.1,5,Single,3,7
154,21,Male,Graduate,India,4.8,Facebook,No,7.2,7,In Relationship,2,6
155,20,Female,Undergraduate,Nepal,5.5,TikTok,Yes,5.9,6,Single,4,8
156,22,Male,Graduate,Pakistan,4.7,Instagram,Yes,6.3,5,In Relationship,3,7
157,19,Female,Undergraduate,Sri Lanka,5.1,Facebook,No,7,7,Single,2,5
158,21,Male,Graduate,Maldives,5.4,TikTok,Yes,6,6,In Relationship,4,8
159,20,Female,Undergraduate,Bangladesh,4.9,Instagram,Yes,6.4,5,Single,3,7
160,22,Male,Graduate,India,5.2,Facebook,No,7.1,7,In Relationship,2,6
161,19,Female,Undergraduate,Nepal,5.6,TikTok,Yes,5.8,6,Single,4,8
162,21,Male,Graduate,Pakistan,4.6,Instagram,Yes,6.5,5,In Relationship,3,7
Student_ID,20,Female,Undergraduate,Sri Lanka,5,Facebook,No,7.3,7,Single,2,5
163,22,Male,Graduate,Maldives,5.3,TikTok,Yes,5.7,6,In Relationship,4,8
164,19,Female,Undergraduate,Bangladesh,4.8,Instagram,Yes,6.6,5,Single,3,7
165,21,Male,Graduate,India,5.1,Facebook,No,7.4,7,In Relationship,2,6
166,20,Female,Undergraduate,Nepal,5.7,TikTok,Yes,5.6,6,Single,4,8
167,22,Male,Graduate,Pakistan,4.5,Instagram,Yes,6.7,5,In Relationship,3,7
168,19,Female,Undergraduate,Sri Lanka,4.9,Facebook,No,7.5,7,Single,2,5
169,21,Male,Graduate,Maldives,5.2,TikTok,Yes,5.5,6,In Relationship,4,8
170,20,Female,Undergraduate,Bangladesh,4.7,Instagram,Yes,6.8,5,Single,3,7
171,22,Male,Graduate,India,5,Facebook,No,7.6,7,In Relationship,2,6
172,19,Female,Undergraduate,Nepal,5.8,TikTok,Yes,5.4,6,Single,4,8
173,21,Male,Graduate,Pakistan,4.4,Instagram,Yes,6.9,5,In Relationship,3,7
174,20,Female,Undergraduate,Sri Lanka,4.8,Facebook,No,7.7,7,Single,2,5
175,22,Male,Graduate,Maldives,5.1,TikTok,Yes,5.3,6,In Relationship,4,8
176,19,Female,Undergraduate,Bangladesh,4.6,Instagram,Yes,7,5,Single,3,7
177,21,Male,Graduate,India,4.9,Facebook,No,7.8,7,In Relationship,2,6
178,20,Female,Undergraduate,Nepal,5.9,TikTok,Yes,5.2,6,Single,4,8
179,22,Male,Graduate,Pakistan,4.3,Instagram,Yes,7.1,5,In Relationship,3,7
180,19,Female,Undergraduate,Sri Lanka,4.7,Facebook,No,7.9,7,Single,2,5
Student_ID,21,Male,Graduate,Maldives,5,TikTok,Yes,5.1,6,In Relationship,4,8
181,20,Female,Undergraduate,Bangladesh,4.5,Instagram,Yes,7.2,5,Single,3,7
182,22,Male,Graduate,India,4.8,Facebook,No,8,7,In Relationship,2,6
183,19,Female,Undergraduate,Nepal,6,TikTok,Yes,5,6,Single,4,8
184,21,Male,Graduate,Pakistan,4.2,Instagram,Yes,7.3,5,In Relationship,3,7
185,20,Female,Undergraduate,Sri Lanka,4.6,Facebook,No,8.1,7,Single,2,5
186,22,Male,Graduate,Maldives,4.9,TikTok,Yes,4.9,6,In Relationship,4,8
187,19,Female,Undergraduate,Bangladesh,4.4,Instagram,Yes,7.4,5,Single,3,7
188,21,Male,Graduate,India,4.7,Facebook,No,8.2,7,In Relationship,2,6
189,20,Female,Undergraduate,Nepal,6.1,TikTok,Yes,4.8,6,Single,4,8
190,22,Male,Graduate,Pakistan,4.1,Instagram,Yes,7.5,5,In Relationship,3,7
191,19,Female,Undergraduate,Sri Lanka,4.5,Facebook,No,8.3,7,Single,2,5
192,21,Male,Graduate,Maldives,4.8,TikTok,Yes,4.7,6,In Relationship,4,8
193,20,Female,Undergraduate,Bangladesh,4.3,Instagram,Yes,7.6,5,Single,3,7
194,22,Male,Graduate,India,4.6,Facebook,No,8.4,7,In Relationship,2,6
195,19,Female,Undergraduate,Nepal,6.2,TikTok,Yes,4.6,6,Single,4,8
196,21,Male,Graduate,Pakistan,4,Instagram,Yes,7.7,5,In Relationship,3,7
197,20,Female,Undergraduate,Sri Lanka,4.4,Facebook,No,8.5,7,Single,2,5
198,22,Male,Graduate,Maldives,4.7,TikTok,Yes,4.5,6,In Relationship,4,8
Student_ID,19,Female,Undergraduate,Bangladesh,4.2,Instagram,Yes,7.8,5,Single,3,7
199,21,Male,Graduate,India,4.5,Facebook,No,8.6,7,In Relationship,2,6
200,20,Female,Undergraduate,Nepal,6.3,TikTok,Yes,4.4,6,Single,4,8
201,22,Male,Graduate,Pakistan,3.9,Instagram,Yes,7.9,5,In Relationship,3,7
202,19,Female,Undergraduate,Sri Lanka,4.3,Facebook,No,8.7,7,Single,2,5
203,21,Male,Graduate,Maldives,4.6,TikTok,Yes,4.3,6,In Relationship,4,8
204,20,Female,Undergraduate,Bangladesh,4.1,Instagram,Yes,8,5,Single,3,7
205,22,Male,Graduate,India,4.4,Facebook,No,8.8,7,In Relationship,2,6
206,19,Female,Undergraduate,Nepal,6.4,TikTok,Yes,4.2,6,Single,4,8
207,21,Male,Graduate,Pakistan,3.8,Instagram,Yes,8.1,5,In Relationship,3,7
208,20,Female,Undergraduate,Sri Lanka,4.2,Facebook,No,8.9,7,Single,2,5
209,22,Male,Graduate,Maldives,4.5,TikTok,Yes,4.1,6,In Relationship,4,8
210,19,Female,Undergraduate,USA,6.5,Instagram,Yes,6,5,Single,4,9
211,21,Male,Graduate,UK,5.8,TikTok,Yes,6.5,6,In Relationship,3,7
212,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.5,8,Single,2,5
213,22,Male,Graduate,Germany,4.2,Facebook,No,7.8,7,In Relationship,2,4
214,19,Female,Undergraduate,Japan,3.8,LINE,No,7.9,8,Single,1,3
215,21,Male,Graduate,Italy,5.5,Instagram,Yes,6.8,6,Single,3,7
216,20,Female,Undergraduate,South Korea,5.2,KakaoTalk,Yes,6.5,6,In Relationship,3,6
Student_ID,22,Male,Graduate,Russia,4.8,VKontakte,No,7.2,7,Single,2,5
217,19,Female,Undergraduate,USA,7,TikTok,Yes,5.8,4,In Relationship,4,9
218,21,Male,Graduate,UK,5.5,Instagram,Yes,6.7,6,Single,3,7
219,20,Female,Undergraduate,Australia,4.7,Facebook,No,7.4,7,In Relationship,2,5
220,22,Male,Graduate,Germany,4,Instagram,No,7.9,8,Single,1,4
221,19,Female,Undergraduate,Japan,3.5,LINE,No,8,8,Single,1,3
222,21,Male,Graduate,Italy,5.7,TikTok,Yes,6.5,5,In Relationship,3,8
223,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.8,6,Single,3,6
224,22,Male,Graduate,Russia,4.5,VKontakte,No,7.4,7,In Relationship,2,5
225,19,Female,Undergraduate,USA,6.8,Instagram,Yes,5.9,4,Single,4,9
226,21,Male,Graduate,UK,5.6,Facebook,Yes,6.6,6,In Relationship,3,7
227,20,Female,Undergraduate,Australia,4.6,Instagram,No,7.3,7,Single,2,5
228,22,Male,Graduate,Germany,4.1,Facebook,No,7.7,8,In Relationship,2,4
229,19,Female,Undergraduate,Japan,3.7,LINE,No,7.8,8,Single,1,3
230,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7
231,20,Female,Undergraduate,South Korea,5.1,KakaoTalk,Yes,6.6,6,In Relationship,3,6
232,22,Male,Graduate,Russia,4.7,VKontakte,No,7.3,7,Single,2,5
233,19,Female,Undergraduate,USA,6.9,TikTok,Yes,5.7,4,In Relationship,4,9
234,21,Male,Graduate,UK,5.7,Instagram,Yes,6.4,6,Single,3,7
Student_ID,20,Female,Undergraduate,Australia,4.8,Facebook,No,7.2,7,In Relationship,2,5
235,22,Male,Graduate,Germany,3.9,Instagram,No,7.8,8,Single,1,4
236,19,Female,Undergraduate,Japan,3.6,LINE,No,8.1,8,Single,1,3
237,21,Male,Graduate,Italy,5.6,TikTok,Yes,6.6,5,In Relationship,3,8
238,20,Female,Undergraduate,South Korea,4.9,KakaoTalk,Yes,6.9,6,Single,3,6
239,22,Male,Graduate,Russia,4.6,VKontakte,No,7.5,7,In Relationship,2,5
240,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.8,4,Single,4,9
241,21,Male,Graduate,UK,5.4,Facebook,Yes,6.5,6,In Relationship,3,7
242,20,Female,Undergraduate,Australia,4.4,Instagram,No,7.4,7,Single,2,5
243,22,Male,Graduate,Germany,4,Facebook,No,7.6,8,In Relationship,2,4
244,19,Female,Undergraduate,Japan,3.4,LINE,No,8.2,8,Single,1,3
245,21,Male,Graduate,Italy,5.3,Instagram,Yes,6.8,5,Single,3,7
246,20,Female,Undergraduate,South Korea,5,KakaoTalk,Yes,6.7,6,In Relationship,3,6
247,22,Male,Graduate,Russia,4.4,VKontakte,No,7.6,7,Single,2,5
248,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.6,4,In Relationship,4,9
249,21,Male,Graduate,UK,5.3,Instagram,Yes,6.3,6,Single,3,7
250,20,Female,Undergraduate,Australia,4.3,Facebook,No,7.5,7,In Relationship,2,5
251,22,Male,Graduate,Germany,3.8,Instagram,No,7.7,8,Single,1,4
252,19,Female,Undergraduate,Japan,3.3,LINE,No,8.3,8,Single,1,3
Student_ID,21,Male,Graduate,Italy,5.2,TikTok,Yes,6.9,5,In Relationship,3,8
253,20,Female,Undergraduate,South Korea,4.8,KakaoTalk,Yes,7,6,Single,3,6
254,22,Male,Graduate,Russia,4.3,VKontakte,No,7.7,7,In Relationship,2,5
255,19,Female,Undergraduate,USA,6.4,Instagram,Yes,5.7,4,Single,4,9
256,21,Male,Graduate,UK,5.2,Facebook,Yes,6.4,6,In Relationship,3,7
257,20,Female,Undergraduate,Australia,4.5,Instagram,No,7.3,7,Single,2,5
258,22,Male,Graduate,Germany,3.7,Facebook,No,7.8,8,In Relationship,1,4
259,19,Female,Undergraduate,Japan,3.2,LINE,No,8.4,8,Single,1,3
260,21,Male,Graduate,Italy,5.4,Instagram,Yes,6.7,5,Single,3,7
261,20,Female,Undergraduate,South Korea,4.7,KakaoTalk,Yes,7.1,6,In Relationship,3,6
262,22,Male,Graduate,Russia,4.2,VKontakte,No,7.8,7,Single,2,5
263,19,Female,Undergraduate,USA,6.6,TikTok,Yes,5.5,4,In Relationship,4,9
264,21,Male,Graduate,UK,5.1,Instagram,Yes,6.5,6,Single,3,7
265,20,Female,Undergraduate,Australia,4.4,Facebook,No,7.4,7,In Relationship,2,5
266,22,Male,Graduate,Germany,3.6,Instagram,No,7.9,8,Single,1,4
267,19,Female,Undergraduate,Japan,3.1,LINE,No,8.5,8,Single,1,3
268,21,Male,Graduate,Italy,5.3,TikTok,Yes,6.8,5,In Relationship,3,8
269,20,Female,Undergraduate,South Korea,4.6,KakaoTalk,Yes,7.2,6,Single,3,6
270,22,Male,Graduate,Russia,4.1,VKontakte,No,7.9,7,In Relationship,2,5
Student_ID,19,Female,Undergraduate,USA,6.7,Instagram,Yes,5.4,4,Single,4,9
271,21,Male,Graduate,UK,5,Facebook,Yes,6.6,6,In Relationship,3,7
272,20,Female,Undergraduate,Australia,4.3,Instagram,No,7.5,7,Single,2,5
273,22,Male,Graduate,Germany,3.5,Facebook,No,8,8,In Relationship,1,4
274,19,Female,Undergraduate,Japan,3,LINE,No,8.6,8,Single,1,3
275,21,Male,Graduate,Italy,5.2,Instagram,Yes,6.9,5,Single,3,7
276,20,Female,Undergraduate,South Korea,4.5,KakaoTalk,Yes,7.3,6,In Relationship,3,6
277,22,Male,Graduate,Russia,4,VKontakte,No,8,7,Single,2,5
278,19,Female,Undergraduate,USA,6.8,TikTok,Yes,5.3,4,In Relationship,4,9
279,21,Male,Graduate,UK,4.9,Instagram,Yes,6.7,6,Single,3,7
280,20,Female,Undergraduate,Australia,4.2,Facebook,No,7.6,7,In Relationship,2,5
281,22,Male,Graduate,Germany,3.4,Instagram,No,8.1,8,Single,1,4
282,19,Female,Undergraduate,Japan,2.9,LINE,No,8.7,8,Single,1,3
283,21,Male,Graduate,Italy,5.1,TikTok,Yes,7,5,In Relationship,3,8
284,20,Female,Undergraduate,South Korea,4.4,KakaoTalk,Yes,7.4,6,Single,3,6
285,22,Male,Graduate,Russia,3.9,VKontakte,No,8.1,7,In Relationship,2,5
286,19,Female,Undergraduate,USA,6.9,Instagram,Yes,5.2,4,Single,4,9
287,21,Male,Graduate,UK,4.8,Facebook,Yes,6.8,6,In Relationship,3,7
288,20,Female,Undergraduate,Australia,4.1,Instagram,No,7.7,7,Single,2,5
Student_ID,22,Male,Graduate,Germany,3.3,Facebook,No,8.2,8,In Relationship,1,4
289,19,Female,Undergraduate,Japan,2.8,LINE,No,8.8,8,Single,1,3
290,21,Male,Graduate,Italy,5,Instagram,Yes,7.1,5,Single,3,7
291,20,Female,Undergraduate,South Korea,4.3,KakaoTalk,Yes,7.5,6,In Relationship,3,6
292,22,Male,Graduate,Russia,3.8,VKontakte,No,8.2,7,Single,2,5
